time	name	barcode	price	qty	deny	user
	Stella Pils 33cl	5410228144755	2	5		9990000000111
	Carlsberg 25cl	5740600200572	2	5		9990000000111
	Jupiler 25cl	5410228142027	1.5	5		9990000000111
	Coca Light Lemon 50cl	5449033106009	2	5		9990000000111
	Energy Drink Emerge Tropical 250ml	5000177472032	3	5		9990000000111
	Alpro Rice Drink 1L	5411188111375	3	5		9990000000111
	Black Seed Drink 6 X 250ml	9120059360069	1.5	5		9990000000111
	Safwa orange drink 250ml	9501100591821	2	5		9990000000111
	Glinter Drink	9556474123635	3	5		9990000000111
	Rox	9006033000506	2.5	5		9990000000111
2017-01-10 15:36:02.412307	Hafti	58052756770656355757	2.0			9990000000111
2017-01-10 16:18:56.966964	Hafti	58052756770656355757	3.5			9990000000111
2017-01-10 17:46:13.892388	Hafti	58052756770656355757	245.67			9990000000111
2017-01-10 17:46:40.875852	Hafti	58052756770656355757	4.0			9990000000111
2017-02-13 14:23:09.820504	Rox	9006033000506	2.5	5		1000000010121
2017-02-13 14:27:58.208097	Rox*	9006033000506	2.5	5		1000000010121
2017-02-13 14:29:04.531723	Rox*	9006033000506	2.5	5		1000000010121
2017-08-09 10:25:41.378985	Carlsberg	5740600200572	2.5	5.0	1	1000000010121
